,Brands,Models,BrandModels
0,AC,Cobra,AC Cobra
1,ACURA,RSX,ACURA RSX
2,AERO,T,AERO T
3,AIWAYS,U5,AIWAYS U5
4,AIWAYS,U6,AIWAYS U6
5,AIXAM,300,AIXAM 300
6,AIXAM,400,AIXAM 400
7,AIXAM,500,AIXAM 500
8,AIXAM,600,AIXAM 600
9,AIXAM,721,AIXAM 721
10,AIXAM,751,AIXAM 751
11,AIXAM,CROSSLINE,AIXAM CROSSLINE
12,AIXAM,ECITY,AIXAM ECITY
13,AIXAM,ECOUPE,AIXAM ECOUPE
14,AIXAM,MAC,AIXAM MAC
15,AIXAM,SCOUTY,AIXAM SCOUTY
16,ALFA ROMEO,1.8 Turbo,ALFA ROMEO 1.8 Turbo
17,ALFA ROMEO,145,ALFA ROMEO 145
18,ALFA ROMEO,146,ALFA ROMEO 146
19,ALFA ROMEO,147,ALFA ROMEO 147
20,ALFA ROMEO,155,ALFA ROMEO 155
21,ALFA ROMEO,156,ALFA ROMEO 156
22,ALFA ROMEO,159,ALFA ROMEO 159
23,ALFA ROMEO,164,ALFA ROMEO 164
24,ALFA ROMEO,166,ALFA ROMEO 166
25,ALFA ROMEO,1750,ALFA ROMEO 1750
26,ALFA ROMEO,2600,ALFA ROMEO 2600
27,ALFA ROMEO,33,ALFA ROMEO 33
28,ALFA ROMEO,4C,ALFA ROMEO 4C
29,ALFA ROMEO,6,ALFA ROMEO 6
30,ALFA ROMEO,75,ALFA ROMEO 75
31,ALFA ROMEO,8C,ALFA ROMEO 8C
32,ALFA ROMEO,90,ALFA ROMEO 90
33,ALFA ROMEO,ALFASUD,ALFA ROMEO ALFASUD
34,ALFA ROMEO,ALFETTA,ALFA ROMEO ALFETTA
35,ALFA ROMEO,ARNA,ALFA ROMEO ARNA
36,ALFA ROMEO,BRERA,ALFA ROMEO BRERA
37,ALFA ROMEO,Giulia,ALFA ROMEO Giulia
38,ALFA ROMEO,GIULIETTA,ALFA ROMEO GIULIETTA
39,ALFA ROMEO,GT,ALFA ROMEO GT
40,ALFA ROMEO,GTV,ALFA ROMEO GTV
41,ALFA ROMEO,MITO,ALFA ROMEO MITO
42,ALFA ROMEO,MONTREAL,ALFA ROMEO MONTREAL
43,ALFA ROMEO,SPIDER,ALFA ROMEO SPIDER
44,ALFA ROMEO,STELVIO,ALFA ROMEO STELVIO
45,ALFA ROMEO,TONALE,ALFA ROMEO TONALE
46,ALFA ROMEO,TOURING 2000,ALFA ROMEO TOURING 2000
47,ALFA ROMEO,Sprint Bertone,ALFA ROMEO Sprint Bertone
48,ALFA ROMEO,S.Z. ZAGATO,ALFA ROMEO S.Z. ZAGATO
49,ALFA ROMEO,ZAGATO,ALFA ROMEO ZAGATO
50,ALPINE,A110,ALPINE A110
51,ALPINE,A110 S,ALPINE A110 S
52,ALPINE,A310,ALPINE A310
53,ALPINE,A610,ALPINE A610
54,ALPINE,V6,ALPINE V6
55,ALVIS,TA14,ALVIS TA14
56,ALVIS,TD 21,ALVIS TD 21
57,ARTEGA,GT,ARTEGA GT
58,ASTON MARTIN,AR 1,ASTON MARTIN AR 1
59,ASTON MARTIN,CYGNET,ASTON MARTIN CYGNET
60,ASTON MARTIN,DB2/4,ASTON MARTIN DB2/4
61,ASTON MARTIN,DB4,ASTON MARTIN DB4
62,ASTON MARTIN,DB11,ASTON MARTIN DB11
63,ASTON MARTIN,DB12,ASTON MARTIN DB12
64,ASTON MARTIN,DB7,ASTON MARTIN DB7
65,ASTON MARTIN,DB9,ASTON MARTIN DB9
66,ASTON MARTIN,DBS,ASTON MARTIN DBS
67,ASTON MARTIN,DBX,ASTON MARTIN DBX
68,ASTON MARTIN,LAGONDA,ASTON MARTIN LAGONDA
69,ASTON MARTIN,One 77,ASTON MARTIN One 77
70,ASTON MARTIN,RAPIDE,ASTON MARTIN RAPIDE
71,ASTON MARTIN,Vanquish V12,ASTON MARTIN Vanquish V12
72,ASTON MARTIN,Vanquish V12 S,ASTON MARTIN Vanquish V12 S
73,ASTON MARTIN,V12 Vanquish,ASTON MARTIN V12 Vanquish
74,ASTON MARTIN,V12 Vantage,ASTON MARTIN V12 Vantage
75,ASTON MARTIN,V8 Vantage,ASTON MARTIN V8 Vantage
76,ASTON MARTIN,Virage,ASTON MARTIN Virage
77,AUDI,100,AUDI 100
78,AUDI,200,AUDI 200
79,AUDI,80,AUDI 80
80,AUDI,90,AUDI 90
81,AUDI,A1,AUDI A1
82,AUDI,A2,AUDI A2
83,AUDI,A3,AUDI A3
84,AUDI,A4,AUDI A4
85,AUDI,A4 ALLROAD,AUDI A4 ALLROAD
86,AUDI,A5,AUDI A5
87,AUDI,A6,AUDI A6
88,AUDI,A6 ALLROAD,AUDI A6 ALLROAD
89,AUDI,A7,AUDI A7
90,AUDI,A8,AUDI A8
91,AUDI,Cabriolet,AUDI Cabriolet
92,AUDI,Coupé,AUDI Coupé
93,AUDI,e-tron,AUDI e-tron
94,AUDI,e-tron GT,AUDI e-tron GT
95,AUDI,Q2,AUDI Q2
96,AUDI,Q3,AUDI Q3
97,AUDI,Q4 e-tron,AUDI Q4 e-tron
98,AUDI,Q4 SPORTBACK E-TRON 35,AUDI Q4 SPORTBACK E-TRON 35
99,AUDI,Q4 SPORTBACK E-TRON 40,AUDI Q4 SPORTBACK E-TRON 40
100,AUDI,Q4 SPORTBACK E-TRON 45,AUDI Q4 SPORTBACK E-TRON 45
101,AUDI,Q4 SPORTBACK E-TRON 45 QUATTRO,AUDI Q4 SPORTBACK E-TRON 45 QUATTRO
102,AUDI,Q4 SPORTBACK E-TRON 50 QUATTRO,AUDI Q4 SPORTBACK E-TRON 50 QUATTRO
103,AUDI,Q4 SPORTBACK E-TRON 50,AUDI Q4 SPORTBACK E-TRON 50
104,AUDI,Q4 SPORTBACK E-TRON 55,AUDI Q4 SPORTBACK E-TRON 55
105,AUDI,Q4 SPORTBACK E-TRON 55 QUATTRO,AUDI Q4 SPORTBACK E-TRON 55 QUATTRO
106,AUDI,Q5,AUDI Q5
107,AUDI,Q7,AUDI Q7
108,AUDI,Q8,AUDI Q8
109,AUDI,Q8 e-tron,AUDI Q8 e-tron
110,AUDI,QUATTRO,AUDI QUATTRO
111,AUDI,R8,AUDI R8
112,AUDI,RS Q3,AUDI RS Q3
113,AUDI,RS2,AUDI RS2
114,AUDI,RS3,AUDI RS3
115,AUDI,RS4,AUDI RS4
116,AUDI,RS5,AUDI RS5
117,AUDI,RS6,AUDI RS6
118,AUDI,RS7,AUDI RS7
119,AUDI,RS E-TRON GT QUATTRO,AUDI RS E-TRON GT QUATTRO
120,AUDI,RSQ8,AUDI RSQ8
121,AUDI,S1,AUDI S1
122,AUDI,S2,AUDI S2
123,AUDI,S3,AUDI S3
124,AUDI,S4,AUDI S4
125,AUDI,S5,AUDI S5
126,AUDI,S6,AUDI S6
127,AUDI,S7,AUDI S7
128,AUDI,S8,AUDI S8
129,AUDI,SQ2,AUDI SQ2
130,AUDI,SQ5,AUDI SQ5
131,AUDI,SQ7,AUDI SQ7
132,AUDI,SQ8,AUDI SQ8
133,AUDI,TT,AUDI TT
134,AUDI,V8,AUDI V8
135,AUSTIN,MAESTRO,AUSTIN MAESTRO
136,AUSTIN,METRO,AUSTIN METRO
137,AUSTIN,Mini,AUSTIN Mini
138,AUSTIN,MONTEGO,AUSTIN MONTEGO
139,AUSTIN-HEALEY,SPRITE,AUSTIN-HEALEY SPRITE
140,AUTOBIANCHI,A112,AUTOBIANCHI A112
141,AUTOBIANCHI,BIANCHINA,AUTOBIANCHI BIANCHINA
142,BENTLEY,ARNAGE,BENTLEY ARNAGE
143,BENTLEY,AZURE,BENTLEY AZURE
144,BENTLEY,Bentayga,BENTLEY Bentayga
145,BENTLEY,BROOKLANDS,BENTLEY BROOKLANDS
146,BENTLEY,CONTINENTAL,BENTLEY CONTINENTAL
147,BENTLEY,EIGHT,BENTLEY EIGHT
148,BENTLEY,FLYING SPUR,BENTLEY FLYING SPUR
149,BENTLEY,Mulsanne,BENTLEY Mulsanne
150,BENTLEY,S1,BENTLEY S1
151,BENTLEY,S2,BENTLEY S2
152,BENTLEY,TURBO,BENTLEY TURBO
153,BMW,1 SERIES,BMW 1 SERIES
154,BMW,114,BMW 114
155,BMW,116,BMW 116
